Ascii Data Listing

Data listed on 10/24/23 17:30:26
file F:/PolyU/STM/SnTe/19 Oct 2023/Sb_SnTe_HOPG_PtIr_LT_2023_10_24_11_22_10_281.sm4, 10/24/23 11:13:31

Data Listing of Primary axis

 Plot Number: 1

	LIA Current, Bias 0.500 V, Setpoint 100.000 pA
	; ; 

8 lines of 1001 points, x units V y units A
LIA Current
Raw Data

DATA TABLE 3
	                	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       
	1x V            	1y3 A           	1y4 A           	1y5 A           	1y6 A           	1y7 A           	1y8 A           
	X_pixel         	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   
	Y_pixel         	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   
	+4.2100000e-01  	+9.0974806e-12  	+6.1081630e-12  	+1.0788157e-11  	+7.4378542e-12  	+1.1607511e-11  	+4.0059397e-12  
	+4.1999999e-01  	+9.0547509e-12  	+6.9340783e-12  	+1.4059180e-11  	+8.5982636e-12  	+1.3082199e-11  	+5.0870003e-12  
	+4.1900000e-01  	+9.3277218e-12  	+6.1509573e-12  	+1.3195342e-11  	+8.9745086e-12  	+1.5817429e-11  	+5.4398317e-12  
	+4.1799998e-01  	+9.4342980e-12  	+6.9495195e-12  	+1.1591986e-11  	+8.5982679e-12  	+1.4119507e-11  	+5.1182136e-12  
	+4.1700000e-01  	+8.3476394e-12  	+6.1468873e-12  	+1.2443261e-11  	+7.7884314e-12  	+2.0681424e-11  	+4.9363729e-12  
	+4.1600001e-01  	+8.2823583e-12  	+6.0403345e-12  	+1.1444613e-11  	+6.8005406e-12  	+1.9454606e-11  	+4.3361959e-12  
	+4.1499999e-01  	+8.6156655e-12  	+7.0708526e-12  	+1.1595553e-11  	+7.4353535e-12  	+1.7464304e-11  	+3.9905171e-12  
	+4.1400000e-01  	+8.5663239e-12  	+5.9293117e-12  	+1.4036721e-11  	+8.0629999e-12  	+1.9706679e-11  	+3.9521463e-12  
	+4.1299999e-01  	+8.3579029e-12  	+6.7059743e-12  	+1.1170595e-11  	+7.1774886e-12  	+1.6977569e-11  	+4.5259994e-12  
	+4.1200000e-01  	+8.3127524e-12  	+6.4272342e-12  	+1.0682898e-11  	+6.8948462e-12  	+1.6406132e-11  	+3.3455155e-12  
	+4.1100001e-01  	+8.0130434e-12  	+5.7491381e-12  	+1.1724075e-11  	+9.4065120e-12  	+1.6773133e-11  	+3.8269253e-12  
